PAM,VFSC
100.53,59.28
101.70,62.47
102.52,64.27
103.05,64.95
103.35,64.75
103.49,63.91
103.53,62.69
103.54,61.33
103.57,60.08
103.79,59.61
104.26,60.26
104.83,61.16
105.46,62.18
106.14,62.99
106.84,63.45
107.52,63.78
108.18,63.95
108.73,64.05
109.18,64.01
109.56,63.72
109.88,63.12
110.11,61.42
110.28,59.41
110.40,57.62
110.48,56.39
110.61,57.83
110.71,59.91
110.75,62.07
110.71,63.89
110.55,63.28
110.28,62.00
109.92,60.38
109.44,58.67
108.76,57.80
107.98,57.23
107.14,56.86
106.27,56.68
105.45,56.79
104.74,57.20
104.04,57.71
103.36,58.23
102.69,58.70
101.96,58.77
101.18,58.44
100.44,58.03
99.76,57.58
99.17,57.17
98.77,57.02
98.56,57.12
98.46,57.30
98.46,57.55
98.55,57.85
98.71,58.14
98.92,58.39
99.20,58.67
99.54,58.96
99.93,59.27
100.38,59.65
100.87,60.05
101.37,60.45
101.86,60.81
102.30,61.15
102.66,61.44
103.01,61.62
103.34,61.67
103.64,61.38
103.93,60.67
104.24,59.99
104.62,59.48
105.17,59.63
105.87,60.36
106.58,61.31
107.26,62.34
107.76,63.34
108.16,64.22
108.48,64.87
108.76,65.08
109.05,64.43
109.25,63.54
109.33,62.59
109.24,61.95
108.92,61.84
108.45,61.87
107.87,61.95
107.15,61.98
106.31,61.86
105.41,61.68
104.48,61.43
103.54,61.09
102.74,60.47
102.00,59.75
101.29,59.02
100.61,58.34
99.95,57.75
99.28,57.68
98.62,57.82
98.00,58.00
97.43,58.18
96.92,58.27
96.52,57.72
96.19,56.94
95.92,56.21
95.71,55.64
95.54,55.33
95.43,56.36
95.34,57.80
95.29,59.22
95.25,60.42
95.22,61.00
95.17,59.54
95.13,57.78
95.09,56.00
95.07,54.47
95.02,54.39
94.98,55.43
94.98,56.70
95.04,57.99
95.16,58.75
95.34,58.28
95.66,57.75
96.16,57.37
96.90,57.55
98.05,58.96
99.36,60.67
100.75,62.49
102.17,64.21
103.54,65.66
104.85,66.80
106.02,67.50
106.97,67.18
107.70,66.25
108.21,65.02
108.48,63.69
108.36,62.78
108.04,61.91
107.55,61.05
106.94,60.15
106.32,59.07
105.63,58.01
104.90,57.05
104.13,56.24
103.36,55.78
102.63,56.01
101.91,56.41
101.18,56.91
100.47,57.43
99.77,57.90
99.08,57.92
98.41,57.75
97.76,57.45
97.15,57.04
96.58,56.51
96.06,55.68
95.60,54.66
95.18,53.68
94.80,52.81
94.46,52.14
94.14,52.10
93.86,52.52
93.61,53.12
93.39,53.80
93.20,54.51
93.05,55.13
92.92,55.63
92.81,55.97
92.71,56.07
92.52,55.32
92.32,54.22
92.19,53.21
92.16,52.53
92.37,53.22
92.76,54.66
93.22,56.20
93.73,57.58
94.25,57.62
94.75,57.30
95.23,56.90
95.64,56.78
95.96,57.42
96.21,58.08
96.38,58.59
96.45,58.32
96.42,57.36
96.33,56.29
96.20,55.32
96.05,55.25
95.88,55.75
95.67,56.44
95.43,57.20
95.13,57.76
94.77,57.92
94.39,57.95
94.01,57.88
93.64,57.69
93.32,57.20
93.03,56.63
92.79,56.10
92.61,55.70
92.50,55.55
92.52,56.37
92.60,57.33
92.73,58.30
92.91,59.16
93.10,59.51
93.31,59.23
93.54,58.75
93.82,58.13
94.14,57.42
94.54,56.64
94.95,55.94
95.37,55.40
95.77,55.22
96.10,55.98
96.39,56.84
96.66,57.61
96.88,57.92
97.07,56.91
97.21,55.68
97.32,54.46
97.36,53.60
97.28,53.96
97.19,54.57
97.16,55.25
97.23,55.72
97.55,55.39
97.95,55.07
98.43,54.91
98.95,55.47
99.49,56.90
100.04,58.39
100.58,59.68
101.01,59.75
101.40,59.16
101.80,58.44
102.24,57.84
102.89,58.18
103.54,58.74
104.14,59.45
104.56,60.23
104.72,61.02
104.75,61.67
104.66,62.09
104.49,61.81
104.23,60.76
103.92,59.52
103.54,58.28
103.14,57.30
102.70,57.69
102.26,58.27
101.82,58.86
101.40,59.30
101.06,58.79
100.79,57.25
100.57,55.55
100.37,53.89
100.20,52.45
99.98,52.24
99.77,52.73
99.61,53.42
99.51,54.17
99.52,54.69
99.70,54.36
99.97,54.00
100.30,53.73
100.68,53.69
101.17,54.86
101.67,56.31
102.13,57.71
102.51,58.83
102.61,58.59
102.54,57.62
102.39,56.48
102.21,55.38
102.06,54.96
101.96,55.14
101.89,55.59
101.90,56.29
102.03,57.31
102.29,58.55
102.61,59.76
102.99,60.83
103.40,61.20
103.82,61.08
104.26,60.89
104.68,60.76
105.08,61.36
105.44,62.25
105.72,63.12
105.92,63.81
105.96,63.73
105.89,63.40
105.71,62.87
105.41,62.25
104.95,61.69
104.42,61.06
103.84,60.37
103.26,59.61
102.74,58.96
102.26,58.23
101.84,57.33
101.50,56.21
101.28,54.59
101.32,51.46
101.42,48.40
101.56,45.77
101.70,43.90
101.74,44.28
101.65,46.93
101.53,50.22
101.41,53.76
101.30,56.98
101.25,58.98
101.21,60.54
101.17,61.62
101.13,62.14
101.08,61.69
101.02,60.88
100.93,59.87
100.83,58.81
100.69,58.59
100.52,58.47
100.31,58.31
100.06,58.02
99.72,57.09
99.28,55.52
98.83,53.87
98.40,52.29
98.03,50.94
97.78,50.25
97.63,50.02
97.57,50.22
97.61,50.89
97.79,52.42
98.07,54.48
98.46,56.76
98.95,59.08
99.59,61.08
100.31,62.86
101.05,64.39
101.77,65.56
102.41,66.18
102.99,66.50
103.50,66.60
103.94,66.64
104.28,66.59
104.50,66.37
104.61,65.97
104.47,65.21
104.21,64.29
103.87,63.28
103.47,62.24
103.13,61.32
102.78,60.46
102.43,59.68
102.07,58.98
101.71,58.43
101.35,58.06
101.00,57.81
100.66,57.69
100.35,57.69
100.04,57.92
99.77,58.28
99.54,58.69
99.37,59.11
99.27,59.49
99.29,59.68
99.37,59.80
99.53,59.83
99.74,59.78
100.04,59.53
100.40,59.13
100.80,58.73
101.21,58.39
101.62,58.31
102.03,58.70
102.40,59.12
102.69,59.46
102.87,59.56
102.82,59.05
102.70,58.37
102.56,57.59
102.46,56.77
102.52,55.96
102.60,55.27
102.70,54.76
102.78,54.58
102.76,55.04
102.76,55.72
102.81,56.52
102.96,57.31
103.27,57.89
103.66,58.49
104.12,59.11
104.63,59.88
105.18,60.77
105.76,61.62
106.35,62.39
106.97,62.87
107.56,63.19
108.12,63.41
108.62,63.57
109.06,63.70
109.37,63.70
109.51,63.53
109.34,63.05
108.93,62.34
108.36,61.44
107.65,60.40
106.84,59.00
105.94,57.56
104.98,56.19
104.00,55.01
103.05,54.64
102.15,54.94
101.27,55.42
100.41,55.97
99.58,56.44
98.81,56.18
98.09,55.39
97.40,54.47
96.75,53.49
96.13,52.55
95.52,51.91
94.92,51.58
94.37,51.39
93.86,51.31
93.40,51.35
93.01,51.53
92.70,51.84
92.44,52.20
92.24,52.60
92.08,53.01
91.97,53.33
91.89,53.53
91.86,53.70
91.85,53.87
91.87,54.05
91.89,54.28
91.93,54.56
91.98,54.85
92.06,55.12
92.17,55.37
92.30,55.57
92.46,55.75
92.64,55.91
92.83,56.06
92.98,56.19
93.18,56.33
93.48,56.50
93.91,56.71
94.59,56.96
95.39,57.29
96.27,57.75
97.23,58.47
98.22,59.47
99.20,60.48
100.12,61.41
100.82,61.91
101.41,62.23
101.94,62.46
102.43,62.69
102.92,62.99
103.39,63.28
103.85,63.55
104.34,63.91
104.82,64.25
105.26,64.47
105.63,64.51
105.83,63.84
105.92,62.94
105.92,62.06
105.85,61.37
105.69,61.65
105.47,62.40
105.19,63.30
104.87,64.23
104.50,64.77
104.08,64.89
103.67,64.90
103.28,64.84
102.95,64.74
102.79,65.02
102.70,65.24
102.67,65.34
102.70,65.25
102.77,64.60
102.88,63.24
103.02,61.83
103.20,60.56
103.41,59.60
103.66,59.89
103.93,60.56
104.21,61.48
104.47,62.55
104.66,63.60
104.83,64.59
104.99,65.45
105.16,66.12
105.40,66.17
105.66,65.96
105.90,65.62
106.11,65.24
106.30,65.09
106.41,64.90
106.41,64.62
106.20,64.16
105.81,63.53
105.30,62.78
104.69,61.86
103.94,60.61
103.20,59.45
102.57,58.55
102.31,58.51
102.35,59.14
102.47,60.04
102.59,61.06
102.45,61.85
102.26,62.57
102.04,63.18
101.85,63.53
101.68,63.63
101.48,63.62
101.25,63.55
100.91,63.58
100.52,63.62
100.07,63.63
99.60,63.62
99.14,63.64
98.63,63.56
