PAM,VFSC
98.04,63.35
97.36,62.92
96.41,61.74
95.39,60.46
94.33,59.24
93.25,58.23
92.25,58.15
91.33,58.71
90.47,59.51
89.67,60.45
88.97,61.37
88.41,61.73
87.94,62.06
87.56,62.40
87.28,62.79
87.08,63.34
86.94,64.10
86.92,64.95
87.02,65.89
87.25,66.91
87.72,68.20
88.32,69.46
89.01,70.61
89.80,71.57
90.71,71.85
91.65,71.88
92.57,71.82
93.43,71.75
94.06,72.30
94.58,72.88
95.02,73.26
95.40,73.25
95.72,71.87
96.00,70.24
96.26,68.59
96.51,67.23
96.87,67.35
97.19,67.72
97.46,68.13
97.65,68.40
97.56,67.33
97.38,65.99
97.14,64.68
96.89,63.58
96.71,63.63
96.57,64.28
96.49,65.15
96.46,66.10
96.54,66.69
96.72,66.99
96.95,67.23
97.21,67.42
97.47,67.61
97.73,67.83
98.00,68.09
98.29,68.45
98.56,69.06
98.86,69.80
99.19,70.56
99.58,71.29
100.16,72.04
100.76,72.58
101.33,72.80
101.78,72.28
102.06,70.71
102.21,69.00
102.25,67.43
102.14,66.99
101.88,67.79
101.53,68.94
101.11,70.21
100.64,71.22
100.13,71.21
99.62,70.98
99.11,70.60
98.64,70.12
98.27,69.76
98.02,69.57
97.83,69.39
97.68,69.21
97.57,69.02
97.42,68.72
97.22,68.30
97.07,67.90
97.02,67.57
97.08,67.35
97.43,67.33
98.03,67.53
98.72,67.91
99.46,68.49
100.19,69.28
100.81,70.83
101.35,72.53
101.81,74.10
102.18,75.35
102.35,75.55
102.35,74.74
102.27,73.64
102.15,72.43
102.03,71.47
101.94,71.11
101.89,70.96
101.89,71.03
101.96,71.30
102.24,72.07
102.58,72.95
102.95,73.85
103.31,74.64
103.57,74.73
103.78,74.59
103.97,74.49
104.13,74.56
104.23,75.53
104.33,76.81
104.46,78.17
104.66,79.45
105.12,80.15
105.63,80.63
106.12,80.95
106.50,81.15
106.63,81.42
106.64,81.49
106.52,81.28
106.28,80.54
105.89,79.04
105.42,77.35
104.87,75.63
104.25,74.27
103.57,73.55
102.88,73.05
102.20,72.73
101.57,72.55
101.10,72.30
100.74,72.10
100.44,72.02
100.22,72.09
100.06,72.32
99.91,73.06
99.81,74.04
99.79,75.05
99.86,75.97
100.03,76.72
100.42,76.47
100.90,76.00
101.45,75.54
102.04,75.22
102.65,75.53
103.28,76.87
103.86,78.34
104.36,79.75
104.74,80.94
104.79,81.00
104.70,80.60
104.52,79.97
104.31,79.18
104.18,78.49
104.13,77.92
104.07,77.34
104.00,76.77
103.87,76.18
103.59,75.43
103.29,74.77
103.01,74.26
102.79,73.98
102.72,74.30
102.76,74.96
102.88,75.76
103.08,76.64
103.43,77.43
103.84,78.14
104.26,78.75
104.65,79.23
104.84,79.33
104.95,79.28
105.02,79.16
105.06,79.04
105.13,79.12
105.21,79.25
105.29,79.43
105.41,79.70
105.68,80.30
105.92,80.83
106.09,81.15
106.11,81.10
105.75,79.85
105.25,78.33
104.63,76.70
103.93,75.12
103.20,74.39
102.47,73.97
101.73,73.79
101.03,73.82
100.38,74.01
99.93,74.32
99.55,74.75
99.24,75.28
99.00,75.89
98.82,76.56
98.60,77.16
98.46,77.80
98.42,78.50
98.50,79.27
98.74,80.14
99.39,81.38
100.16,82.64
101.01,83.85
101.88,84.96
102.71,85.86
103.42,86.48
104.05,86.81
104.59,86.82
105.02,86.46
105.13,84.94
105.12,83.05
105.05,81.17
104.96,79.53
104.99,78.98
105.22,79.86
105.45,81.05
105.66,82.32
105.83,83.45
105.74,83.27
105.58,82.75
105.42,82.10
105.27,81.43
105.25,81.20
105.32,81.21
105.46,81.25
105.67,81.25
105.99,80.86
106.39,80.25
106.82,79.73
107.24,79.42
107.58,80.01
107.87,81.00
108.12,82.01
108.33,82.85
108.52,82.67
108.67,82.16
108.76,81.51
108.79,80.83
108.75,80.73
108.62,80.66
108.39,80.55
108.06,80.30
107.50,79.48
106.85,78.56
106.15,77.59
105.44,76.67
104.84,76.20
104.29,75.91
103.76,75.70
103.24,75.55
102.73,75.40
102.16,75.14
101.61,74.84
101.09,74.49
100.61,74.06
100.20,73.54
99.90,72.34
99.68,71.17
99.53,70.14
99.47,69.39
99.49,69.04
99.70,70.27
99.98,71.98
100.30,73.88
100.64,75.78
100.95,77.45
101.16,78.13
101.34,78.58
101.49,78.84
101.62,78.97
101.74,79.17
101.84,79.34
101.92,79.39
101.96,79.27
101.92,78.74
101.82,77.86
101.73,76.99
101.67,76.28
101.72,76.18
101.88,76.70
102.10,77.40
102.37,78.19
102.70,78.79
103.06,79.21
103.43,79.56
103.79,79.84
104.09,80.01
104.34,80.11
104.55,80.18
104.72,80.22
104.81,80.31
104.86,80.42
104.88,80.55
104.90,80.68
104.98,80.88
105.07,81.09
105.15,81.27
105.20,81.39
105.19,81.35
105.12,81.17
105.00,80.93
104.81,80.65
104.54,80.37
104.14,80.15
103.69,79.93
103.21,79.69
102.73,79.44
102.27,79.12
101.86,78.74
101.48,78.37
101.16,78.02
100.90,77.70
100.74,77.43
100.69,77.23
100.71,77.12
100.81,77.12
100.98,77.25
101.24,77.66
101.57,78.30
101.96,79.04
102.40,79.83
102.89,80.62
103.44,81.19
104.02,81.69
104.61,82.18
105.20,82.70
105.76,83.33
106.26,84.42
106.71,85.43
107.12,86.26
107.46,86.78
107.72,86.18
107.90,85.01
108.01,83.73
108.04,82.54
107.94,82.09
107.72,82.49
107.46,83.09
107.21,83.79
107.02,84.39
106.98,84.65
107.00,84.74
107.06,84.64
107.18,84.22
107.34,83.07
107.53,81.93
107.73,81.00
107.91,80.82
108.06,82.08
108.18,83.54
108.28,84.89
108.34,85.35
108.37,84.53
108.35,83.39
108.30,82.10
108.25,81.22
108.18,80.83
108.04,80.48
107.81,80.09
107.40,79.28
106.79,78.01
106.10,76.73
105.36,75.56
104.60,74.63
103.94,74.84
103.31,75.40
102.74,76.19
102.24,77.12
101.83,78.09
101.61,78.68
101.48,79.22
101.43,79.70
101.46,80.12
101.56,80.48
101.59,80.58
101.71,80.65
101.94,80.75
102.31,80.92
102.96,81.34
103.91,82.03
104.94,82.77
105.99,83.52
106.98,84.21
107.80,84.79
108.50,85.23
109.07,85.49
109.46,85.49
109.51,85.03
109.44,84.36
109.29,83.54
109.11,82.63
108.99,81.50
108.92,80.42
108.92,79.54
109.03,78.96
109.43,79.35
110.03,80.48
110.69,81.76
111.34,83.03
111.83,83.72
112.14,83.70
112.35,83.52
112.48,83.26
112.61,83.24
112.74,83.54
112.71,83.81
112.47,83.96
111.76,83.70
110.52,82.96
109.11,82.05
107.64,81.06
106.34,80.11
105.62,79.38
105.07,78.76
104.68,78.29
104.41,78.00
104.25,77.92
104.12,78.35
103.99,79.41
103.93,80.51
103.95,81.56
104.04,82.42
104.24,82.63
104.57,81.72
104.95,80.69
105.36,79.70
105.78,78.94
106.19,79.29
106.58,80.51
106.91,81.86
107.17,83.13
107.30,83.92
107.11,83.30
106.89,82.52
106.72,81.82
106.65,81.41
107.02,82.73
107.54,84.31
108.15,85.85
108.83,87.03
109.53,86.74
110.22,86.03
110.89,85.07
111.49,84.00
111.96,83.01
112.34,82.15
112.63,81.51
112.79,81.51
112.82,82.42
112.75,83.43
112.59,84.31
112.37,84.40
112.10,83.06
111.76,81.41
111.35,79.65
110.86,78.01
110.20,77.58
109.47,77.69
108.71,78.02
107.95,78.48
107.21,78.98
106.62,78.95
106.09,78.85
105.63,78.75
105.23,78.65
104.90,78.61
104.65,78.76
104.48,79.00
104.37,79.32
104.32,79.70
104.33,80.14
104.39,80.89
104.51,81.65
104.67,82.30
104.87,82.72
105.11,82.64
105.37,81.58
105.66,80.40
105.99,79.28
106.36,78.39
106.77,78.55
107.21,79.14
107.69,80.00
108.21,81.05
108.78,82.30
109.38,83.58
110.01,84.74
110.64,85.65
111.28,85.59
111.92,85.17
112.54,84.68
113.15,84.32
113.73,84.98
114.28,85.81
114.78,86.66
115.23,87.35
115.62,87.43
115.93,87.32
116.15,87.04
116.27,86.66
116.24,86.24
116.11,85.75
115.85,85.23
115.47,84.69
114.89,84.26
114.21,83.82
113.46,83.36
112.66,82.86
111.86,82.23
111.08,81.49
110.32,80.72
109.57,79.96
108.85,79.24
108.20,78.61
107.61,78.09
107.07,77.67
106.59,77.38
106.16,77.25
105.80,77.41
105.50,77.85
105.27,78.42
105.12,79.06
105.07,79.74
105.16,80.38
105.39,80.94
105.68,81.47
106.00,81.94
106.35,82.33
106.66,82.59
106.94,82.74
107.19,82.81
107.39,82.80
107.50,82.74
107.49,82.66
107.42,82.48
107.31,82.16
107.17,81.67
106.97,80.46
106.76,79.17
106.58,78.02
106.45,77.19
106.42,77.43
106.51,78.50
106.67,79.80
106.89,81.16
107.23,82.05
107.65,82.54
108.08,82.90
108.50,83.18
108.87,83.65
109.17,84.16
109.37,84.49
109.44,84.52
109.26,83.72
108.88,82.39
108.42,80.87
107.90,79.30
107.44,78.12
107.04,77.37
106.65,76.79
106.26,76.36
105.87,76.09
105.42,75.96
104.95,75.94
104.49,76.02
104.06,76.16
103.67,76.36
103.42,76.59
103.24,76.83
103.10,77.07
102.99,77.27
102.88,77.43
102.74,77.33
102.57,77.12
102.40,76.93
102.23,76.81
102.06,76.82
101.74,77.24
101.49,77.81
101.35,78.51
101.38,79.32
101.78,80.24
102.49,81.24
103.36,82.26
104.36,83.29
105.49,84.31
106.68,85.26
107.85,86.10
108.95,86.78
109.81,87.23
110.50,87.43
111.03,87.35
111.39,86.98
111.51,85.79
111.47,84.38
111.30,82.93
111.03,81.59
110.69,81.32
110.29,81.58
109.86,81.99
109.41,82.41
108.95,82.70
108.63,81.72
108.35,80.21
108.08,78.64
107.80,77.16
107.51,75.93
107.18,75.64
106.79,76.58
106.36,77.78
105.88,79.08
105.34,80.34
104.63,81.01
103.75,80.92
102.87,80.69
102.07,80.42
101.37,80.20
101.03,80.50
100.93,81.10
100.97,81.71
101.11,82.25
101.32,82.42
101.56,82.06
101.85,81.72
102.18,81.57
102.56,82.12
102.99,83.46
103.39,84.92
103.75,86.28
104.00,87.02
104.12,87.10
104.14,86.85
104.05,86.32
103.79,85.42
103.40,84.28
102.94,83.08
102.43,81.93
101.92,81.03
101.48,80.94
101.07,81.07
100.69,81.33
100.35,81.67
100.07,82.02
99.92,82.02
99.81,81.98
99.73,81.89
99.68,81.78
99.63,81.65
99.51,81.66
99.38,81.62
99.27,81.48
99.16,81.22
99.07,80.68
99.05,79.56
99.03,78.37
99.01,77.21
98.96,76.19
98.83,75.75
98.61,75.86
98.41,76.12
98.23,76.45
98.12,76.75
98.14,76.63
98.24,76.47
98.44,76.32
98.72,76.21
99.12,76.29
99.60,76.46
100.17,76.71
100.84,77.06
101.68,77.69
102.53,78.27
103.32,78.68
103.93,78.58
104.28,77.82
104.51,76.93
104.64,76.08
104.74,75.93
104.78,76.18
104.72,76.50
104.53,76.79
104.10,76.59
103.49,76.05
102.79,75.34
102.04,74.52
101.29,73.61
100.66,72.58
100.05,71.58
99.48,70.65
98.96,69.88
98.50,69.32
98.13,69.57
97.82,70.06
97.57,70.69
97.39,71.40
97.26,72.11
97.20,72.54
97.20,72.86
97.25,73.12
97.34,73.33
97.47,73.49
97.62,73.62
97.81,73.71
98.02,73.73
98.25,73.69
98.50,73.54
98.76,73.31
99.03,73.05
99.30,72.78
99.54,72.63
99.76,72.55
100.01,72.40
100.29,72.14
100.66,71.27
101.10,70.25
101.59,69.45
102.15,69.14
102.79,70.37
103.48,71.90
104.18,73.45
104.91,74.41
105.64,74.59
106.29,74.47
106.81,74.11
107.13,73.77
107.23,73.30
107.09,72.61
106.66,71.68
105.64,70.09
104.38,68.31
102.95,66.48
101.45,64.71
100.17,63.66
99.00,62.99
97.89,62.50
96.86,62.16
95.89,61.91
95.03,61.55
94.30,60.86
93.65,60.23
93.09,59.70
92.60,59.32
92.19,59.12
91.84,59.51
91.55,60.23
91.34,61.09
91.21,62.03
91.17,62.98
91.22,63.77
91.38,64.35
91.62,64.87
91.94,65.33
92.34,65.75
92.83,66.14
93.40,66.51
94.02,66.82
94.68,67.07
95.37,67.26
96.10,67.42
96.82,67.49
97.49,67.44
98.11,67.26
98.44,66.67
98.73,66.00
99.03,65.35
99.39,64.83
99.94,64.77
100.62,64.86
101.44,65.08
102.47,65.41
103.80,65.82
105.18,66.22
106.52,66.55
107.62,66.63
108.53,66.53
109.31,66.34
109.96,66.09
110.52,65.86
110.93,65.56
111.14,65.15
111.03,64.48
110.61,63.58
110.06,62.66
109.42,61.80
108.86,61.28
108.44,61.16
108.04,61.19
107.67,61.30
107.32,61.46
106.99,61.48
106.68,61.41
106.38,61.32
106.11,61.21
105.84,61.08
105.61,60.97
105.39,60.85
105.17,60.70
104.95,60.52
104.71,60.29
104.43,59.93
104.14,59.56
103.83,59.19
103.51,58.86
103.12,58.61
102.69,58.45
102.30,58.37
101.98,58.38
101.80,58.52
101.81,58.82
101.94,59.21
102.19,59.67
102.57,60.20
103.09,60.79
103.69,61.38
104.35,61.95
105.04,62.45
105.74,62.86
106.40,63.16
107.01,63.35
107.51,63.31
107.89,63.12
108.15,62.83
108.26,62.46
108.15,62.06
107.91,61.60
107.56,61.10
107.14,60.56
106.69,59.95
106.20,59.34
105.68,58.77
105.15,58.26
104.65,57.94
104.18,57.75
103.72,57.63
103.30,57.58
102.92,57.57
102.59,57.56
102.31,57.59
102.06,57.67
101.86,57.79
101.70,58.03
101.57,58.32
101.48,58.62
101.44,58.89
101.45,59.06
101.52,59.10
101.62,59.10
101.72,59.07
101.82,59.04
101.88,59.01
101.95,59.00
102.03,59.02
102.09,59.05
102.13,59.12
102.25,59.28
102.50,59.57
103.03,60.11
103.83,60.88
104.75,61.74
105.75,62.63
106.79,63.46
107.83,64.22
108.81,64.88
109.64,65.37
110.24,65.63
110.73,65.76
111.17,65.79
111.68,65.78
112.15,65.69
112.51,65.48
112.67,65.06
112.57,64.40
112.32,63.64
111.92,62.84
111.39,62.12
110.75,61.47
110.03,60.87
109.24,60.33
108.42,59.85
107.59,59.45
106.75,59.12
105.93,58.86
105.15,58.68
104.47,58.65
103.85,58.69
103.28,58.76
102.75,58.84
102.26,58.86
101.80,58.80
101.40,58.74
101.05,58.69
100.75,58.69
100.51,58.78
100.33,58.93
100.23,59.13
100.20,59.39
100.30,59.72
100.50,60.13
100.76,60.55
101.06,60.98
101.35,61.42
101.63,61.82
101.92,62.16
102.22,62.40
102.50,62.35
102.80,62.12
103.15,61.89
103.57,61.72
104.33,62.09
105.10,62.49
105.74,62.76
105.93,62.48
105.71,61.70
105.37,60.81
105.08,60.03
105.09,59.69
105.16,59.48
105.30,59.38
105.48,59.28
105.67,59.24
105.86,59.30
106.03,59.53
106.16,59.98
106.24,60.45
106.26,60.87
106.15,60.97
105.96,60.92
105.70,60.82
105.46,60.79
105.25,60.90
104.91,60.94
104.39,60.83
103.36,60.18
102.02,59.27
100.56,58.31
99.08,57.44
97.95,57.24
96.97,57.32
96.06,57.57
95.20,57.92
94.38,58.30
93.51,58.51
92.66,58.72
91.86,58.93
91.09,59.12
90.40,59.28
89.77,59.40
89.19,59.52
88.64,59.64
88.13,59.78
87.64,60.01
87.17,60.30
86.72,60.61
86.30,60.90
85.92,61.17
85.57,61.41
85.26,61.58
84.99,61.68
84.76,61.70
